Generation 0
[[128, [7, 5], False, [1, 1], 16, [3, 1], False, [1, 1], True, <function relu at 0x7f81162d4a60>, True]] : 0.07431190460920334
[[96, [3, 5], False, [1, 1], 150, [3, 1], True, [1, 1], False, <function leaky_relu at 0x7f8180bd7158>, True]] : 0.08354557305574417
[[8, [5, 5], False, [1, 1], 96, [5, 1], False, [1, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.06746281683444977
[[16, [5, 5], True, [4, 1], 128, [7, 5], False, [1, 1], True, <function relu6 at 0x7f8180bd70d0>, True]] : 0.06905841827392578
[[150, [5, 5], False, [1, 1], 150, [5, 3], False, [1, 1], False, <function tanh at 0x7f81164a0b70>, True]] : 0.06259934604167938
[[96, [3, 1], False, [1, 1], 64, [5, 5], False, [1, 1], True, <function relu6 at 0x7f8180bd70d0>, True]] : 0.0711488351225853
[[96, [7, 5], False, [1, 1], 150, [3, 1], False, [1, 1], True, <function relu6 at 0x7f8180bd70d0>, True]] : 0.06689617037773132
[[96, [3, 5], False, [1, 1], 150, [3, 1], True, [1, 1], False, <function leaky_relu at 0x7f8180bd7158>, True]] : 0.06580395251512527
[[96, [3, 1], False, [1, 1], 64, [5, 5], False, [1, 1], True, <function relu6 at 0x7f8180bd70d0>, True]] : 0.06851634383201599
[[16, [5, 5], True, [4, 1], 128, [7, 5], False, [1, 1], True, <function relu6 at 0x7f8180bd70d0>, True]] : 0.07121884822845459
[[64, [7, 1], True, [1, 1], 150, [7, 5], True, [1, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.06286083161830902
[[128, [3, 1], False, [1, 1], 64, [3, 3], False, [1, 1], True, <function relu at 0x7f81162d4a60>, True]] : 0.07455507665872574
[[128, [3, 1], False, [1, 1], 64, [3, 3], False, [1, 1], True, <function relu at 0x7f81162d4a60>, True]] : 0.090868279337883
[[16, [5, 5], True, [1, 1], 128, [7, 1], True, [1, 1], True, <function selu at 0x7f81162d0378>, False]] : 0.0707584097981453
[[128, [3, 1], False, [1, 1], 64, [3, 3], False, [1, 1], True, <function relu at 0x7f81162d4a60>, True]] : 0.07093719393014908
Generation 2
[[128, [7, 5], False, [1, 1], 96, [5, 5], True, [1, 1], False, <function selu at 0x7f81162d0378>, True]] : 0.08793412894010544
[[128, [7, 7], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function tanh at 0x7f81164a0b70>, True]] : 0.07210713624954224
[[8, [7, 1], True, [1, 1], 8, [3, 3], False, [1, 1], False, <function selu at 0x7f81162d0378>, True]] : 0.07254637777805328
[[64, [5, 1], False, [1, 1], 64, [5, 5], False, [1, 1], True, <function relu6 at 0x7f8180bd70d0>, True]] : 0.08990800380706787
[[16, [5, 5], True, [1, 1], 128, [7, 1], True, [1, 1], True, <function selu at 0x7f81162d0378>, False]] : 0.08107443153858185
[[16, [5, 5], True, [1, 1], 8, [3, 3], True, [1, 1], False, <function leaky_relu at 0x7f8180bd7158>, True]] : 0.06809785962104797
[[128, [3, 1], False, [1, 1], 64, [3, 3], False, [1, 1], True, <function relu at 0x7f81162d4a60>, True]] : 0.07229676097631454
[[8, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function relu6 at 0x7f8180bd70d0>, True]] : 0.0741686224937439
[[96, [5, 5], False, [1, 1], 64, [7, 1], False, [1, 1], True, <function relu6 at 0x7f8180bd70d0>, False]] : 0.07149152457714081
[[128, [7, 5], False, [1, 1], 16, [3, 1], False, [1, 1], True, <function relu at 0x7f81162d4a60>, False]] : 0.0834524929523468
[[8, [5, 5], False, [1, 1], 96, [5, 1], False, [1, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.08572416752576828
[[16, [5, 5], True, [4, 1], 128, [7, 5], False, [1, 1], True, <function relu6 at 0x7f8180bd70d0>, False]] : 0.07282117754220963
[[150, [5, 5], False, [1, 1], 150, [5, 3], False, [1, 1], False, <function tanh at 0x7f81164a0b70>, True]] : 0.07562261819839478
[[96, [7, 5], False, [1, 1], 150, [3, 1], False, [1, 1], True, <function relu6 at 0x7f8180bd70d0>, True]] : 0.06586023420095444
[[96, [5, 5], False, [1, 1], 64, [7, 1], False, [1, 1], True, <function tanh at 0x7f81164a0b70>, True]] : 0.0712798684835434
[[128, [7, 7], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function tanh at 0x7f81164a0b70>, True]] : 0.08078354597091675
[[16, [5, 5], True, [4, 1], 128, [7, 5], False, [1, 1], True, <function relu6 at 0x7f8180bd70d0>, False]] : 0.10328719764947891
[[64, [7, 1], True, [1, 1], 8, [7, 5], True, [1, 1], True, <function selu at 0x7f81162d0378>, False]] : 0.07143568992614746
[[16, [5, 5], True, [1, 1], 128, [7, 1], True, [1, 1], True, <function selu at 0x7f81162d0378>, False]] : 0.0919952392578125
[[128, [3, 1], False, [1, 1], 64, [3, 3], False, [1, 1], True, <function relu at 0x7f81162d4a60>, True]] : 0.07117492705583572
[[128, [7, 7], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function tanh at 0x7f81164a0b70>, True]] : 0.07175787538290024
[[96, [5, 5], False, [1, 1], 64, [7, 1], False, [1, 1], True, <function relu6 at 0x7f8180bd70d0>, False]] : 0.07475701719522476
[[96, [5, 5], False, [1, 1], 64, [7, 1], False, [1, 1], True, <function tanh at 0x7f81164a0b70>, True]] : 0.07639139890670776
