Generation 0
[[96, [5, 3], False, [1, 1], 8, [5, 5], False, [1, 1], True, <function selu at 0x7fbe214cf378>, True]] : 227.05206298828125
[[128, [5, 5], False, [16, 1], 64, [3, 1], True, [1, 1], False, <function relu at 0x7fbe214d2a60>, True]] : 226.94761657714844
[[32, [3, 3], False, [1, 1], 96, [5, 5], False, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True]] : 226.9412384033203
[[16, [7, 3], True, [1, 1], 64, [5, 3], False, [1, 1], False, <function selu at 0x7fbe214cf378>, True]] : 227.02635192871094
[[96, [5, 3], False, [1, 1], 8, [5, 5], False, [8, 1], True, <function leaky_relu at 0x7fbe8bdd5158>, True]] : 227.0452423095703
[[32, [3, 3], False, [1, 1], 96, [5, 5], False, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True]] : 227.0024871826172
[[96, [3, 3], False, [1, 1], 128, [5, 5], True, [1, 1], True, <function tanh at 0x7fbe216a1b70>, True]] : 227.0618133544922
[[96, [5, 3], True, [1, 1], 8, [5, 5], False, [1, 1], True, <function selu at 0x7fbe214cf378>, True]] : 227.0257110595703
[[96, [3, 3], False, [1, 1], 96, [5, 5], True, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True]] : 227.68576049804688
[[32, [3, 5], True, [1, 1], 96, [3, 1], False, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True]] : 227.47146606445312
[[128, [5, 5], False, [1, 1], 32, [7, 5], False, [1, 1], False, <function relu at 0x7fbe214d2a60>, True]] : 227.0138702392578
[[32, [3, 3], False, [1, 1], 96, [5, 5], False, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True]] : 227.0358123779297
[[96, [3, 3], False, [1, 1], 128, [5, 5], True, [1, 1], True, <function selu at 0x7fbe214cf378>, True]] : 226.9691162109375
[[150, [7, 1], False, [1, 1], 32, [7, 3], True, [1, 1], True, <function leaky_relu at 0x7fbe8bdd5158>, True]] : 227.02122497558594
[[128, [5, 1], False, [1, 1], 64, [3, 5], False, [1, 1], False, <function relu at 0x7fbe214d2a60>, True]] : 227.63287353515625
Generation 2
[[32, [7, 5], False, [1, 1], 32, [7, 1], True, [1, 1], True, <function leaky_relu at 0x7fbe8bdd5158>, True]] : 227.0382080078125
[[32, [3, 3], False, [1, 1], 128, [5, 5], False, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 227.04055786132812
[[150, [3, 3], False, [1, 1], 64, [3, 5], False, [1, 1], False, <function relu at 0x7fbe214d2a60>, True]] : 226.95791625976562
[[32, [3, 5], True, [1, 1], 96, [3, 1], True, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True]] : 227.04360961914062
[[64, [5, 5], True, [1, 1], 8, [7, 1], False, [1, 1], True, <function leaky_relu at 0x7fbe8bdd5158>, True]] : 227.0472412109375
[[96, [7, 1], False, [1, 1], 8, [7, 1], True, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True]] : 226.92086791992188
[[64, [7, 1], False, [1, 1], 8, [7, 5], False, [1, 1], False, <function relu6 at 0x7fbe8bdd50d0>, True]] : 227.0518341064453
[[96, [5, 5], False, [1, 1], 96, [3, 5], False, [1, 1], False, <function relu at 0x7fbe214d2a60>, True]] : 227.03060913085938
[[64, [3, 3], True, [1, 1], 150, [5, 1], True, [1, 1], False, <function relu at 0x7fbe214d2a60>, True]] : 226.90560913085938
[[16, [7, 3], True, [1, 1], 64, [5, 3], False, [1, 1], False, <function selu at 0x7fbe214cf378>, True]] : 227.04742431640625
[[96, [5, 3], False, [1, 1], 8, [5, 5], False, [1, 1], True, <function selu at 0x7fbe214cf378>, True]] : 227.02467346191406
[[128, [5, 5], False, [16, 1], 64, [3, 1], True, [1, 1], False, <function relu at 0x7fbe214d2a60>, True]] : 226.9497833251953
[[32, [3, 3], False, [1, 1], 96, [5, 5], False, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True]] : 227.02650451660156
[[16, [7, 3], True, [1, 1], 64, [5, 3], False, [1, 1], False, <function selu at 0x7fbe214cf378>, True]] : 226.9646453857422
[[32, [3, 3], False, [1, 1], 96, [5, 5], False, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True]] : 227.0147247314453
[[96, [5, 3], True, [1, 1], 8, [7, 7], False, [1, 1], True, <function selu at 0x7fbe214cf378>, True]] : 226.9961395263672
[[128, [5, 5], False, [1, 1], 32, [7, 5], False, [1, 1], False, <function relu at 0x7fbe214d2a60>, True]] : 227.03311157226562
[[32, [3, 3], False, [1, 1], 96, [5, 5], False, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True]] : 227.07484436035156
[[96, [3, 3], False, [1, 1], 128, [5, 5], True, [1, 1], True, <function selu at 0x7fbe214cf378>, True]] : 226.97869873046875
[[150, [7, 7], False, [1, 1], 32, [7, 3], True, [1, 1], True, <function leaky_relu at 0x7fbe8bdd5158>, True]] : 227.07223510742188
[[32, [3, 3], False, [1, 1], 64, [5, 5], False, [1, 1], False, <function relu at 0x7fbe214d2a60>, True]] : 227.65451049804688
[[64, [7, 1], True, [1, 1], 8, [3, 1], False, [1, 1], False, <function relu6 at 0x7fbe8bdd50d0>, True]] : 227.05445861816406
[[32, [7, 1], False, [1, 1], 8, [7, 1], True, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True]] : 226.9432830810547
[[96, [5, 5], False, [1, 1], 96, [3, 5], False, [1, 1], False, <function relu at 0x7fbe214d2a60>, True]] : 227.0048370361328
[[32, [3, 3], False, [1, 1], 96, [5, 5], False, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True]] : 227.09385681152344
[[96, [3, 3], False, [1, 1], 8, [7, 1], True, [1, 1], True, <function selu at 0x7fbe214cf378>, True]] : 227.01654052734375
[[32, [3, 3], False, [1, 1], 96, [5, 5], True, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 226.9656982421875
[[32, [3, 3], False, [1, 1], 96, [5, 5], False, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 226.9910125732422
[[32, [7, 3], True, [1, 1], 96, [5, 5], True, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 226.96934509277344
[[96, [7, 1], True, [1, 1], 150, [7, 1], True, [1, 1], False, <function relu6 at 0x7fbe8bdd50d0>, True]] : 227.01718139648438
Generation 3
[[32, [7, 5], False, [1, 1], 32, [7, 1], False, [1, 1], True, <function leaky_relu at 0x7fbe8bdd5158>, True]] : 227.0164031982422
[[32, [3, 3], False, [1, 1], 128, [5, 5], False, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 227.01272583007812
[[150, [3, 3], False, [1, 1], 64, [3, 5], False, [1, 1], False, <function relu at 0x7fbe214d2a60>, True]] : 226.9745330810547
[[96, [7, 1], False, [1, 1], 8, [7, 1], True, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True]] : 227.0477294921875
