Generation 0
[[16, [3, 5], True, [1, 1], 32, [7, 1], True, [1, 1], True, <function leaky_relu at 0x7fce60cb0158>, True]] : 0.07614672929048538
[[128, [5, 1], False, [1, 1], 150, [3, 5], True, [1, 1], True, <function tanh at 0x7fcdf653db70>, True]] : 0.07669903337955475
[[96, [7, 3], False, [1, 1], 128, [5, 5], True, [1, 1], True, <function leaky_relu at 0x7fce60cb0158>, True]] : 0.06719658523797989
[[16, [3, 5], True, [1, 1], 32, [7, 1], True, [1, 1], True, <function leaky_relu at 0x7fce60cb0158>, True]] : 0.07758457958698273
[[96, [3, 1], False, [1, 1], 128, [5, 5], True, [1, 1], False, <function leaky_relu at 0x7fce60cb0158>, True]] : 0.07471558451652527
[[96, [3, 3], True, [1, 1], 128, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.055649254471063614
[[96, [7, 3], False, [1, 1], 128, [5, 5], True, [1, 1], True, <function leaky_relu at 0x7fce60cb0158>, True]] : 0.07200691848993301
[[16, [3, 5], True, [1, 1], 32, [7, 1], True, [1, 1], True, <function leaky_relu at 0x7fce60cb0158>, True]] : 0.07703414559364319
[[16, [3, 5], True, [1, 1], 32, [7, 1], True, [1, 1], True, <function leaky_relu at 0x7fce60cb0158>, True]] : 0.07774888724088669
[[16, [3, 5], True, [1, 1], 32, [7, 1], False, [1, 1], True, <function leaky_relu at 0x7fce60cb0158>, True]] : 0.07915926724672318
[[96, [3, 1], False, [1, 1], 128, [5, 5], True, [1, 1], False, <function leaky_relu at 0x7fce60cb0158>, True]] : 0.0728943720459938
[[16, [3, 5], True, [1, 1], 32, [7, 1], False, [1, 1], True, <function leaky_relu at 0x7fce60cb0158>, True]] : 0.07936661690473557
[[96, [3, 1], False, [1, 1], 128, [5, 5], True, [1, 1], False, <function leaky_relu at 0x7fce60cb0158>, True]] : 0.073831707239151
[[96, [3, 1], False, [1, 1], 128, [5, 5], False, [1, 1], True, <function leaky_relu at 0x7fce60cb0158>, True]] : 0.07135114818811417
[[16, [3, 5], True, [1, 1], 32, [7, 1], True, [1, 1], True, <function leaky_relu at 0x7fce60cb0158>, True]] : 0.07735589891672134
Generation 2
[[96, [3, 3], False, [1, 1], 128, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06394552439451218
[[16, [5, 1], True, [1, 1], 150, [5, 5], True, [1, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.06280942261219025
[[64, [3, 1], False, [1, 1], 96, [3, 5], False, [1, 1], True, <function leaky_relu at 0x7fce60cb0158>, True]] : 0.0730871632695198
[[96, [3, 3], True, [1, 1], 8, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.07319793850183487
[[64, [3, 1], False, [1, 1], 128, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.0668397769331932
[[96, [3, 3], True, [1, 1], 32, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06106448546051979
[[64, [5, 5], False, [1, 1], 128, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.062373317778110504
[[32, [5, 5], True, [1, 1], 64, [3, 5], True, [1, 1], True, <function selu at 0x7fcdf635a378>, True]] : 0.07538506388664246
[[64, [5, 5], False, [1, 1], 128, [5, 5], False, [1, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.062424153089523315
[[32, [7, 1], True, [1, 1], 32, [3, 5], True, [1, 1], True, <function selu at 0x7fcdf635a378>, True]] : 0.07578463852405548
[[96, [3, 1], False, [1, 1], 64, [7, 7], True, [1, 1], True, <function leaky_relu at 0x7fce60cb0158>, True]] : 0.07348810881376266
[[8, [5, 1], True, [1, 1], 150, [7, 5], True, [1, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.0655757337808609
[[96, [3, 1], False, [1, 1], 128, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06624054163694382
[[64, [3, 1], False, [1, 1], 128, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06653331220149994
[[96, [3, 3], False, [1, 1], 128, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.061043862253427505
[[64, [3, 1], False, [1, 1], 128, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06504886597394943
[[96, [3, 1], False, [1, 1], 64, [7, 7], True, [1, 1], False, <function leaky_relu at 0x7fce60cb0158>, True]] : 0.07340621203184128
[[96, [3, 1], False, [1, 1], 128, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06490269303321838
[[32, [5, 5], True, [1, 1], 64, [3, 5], True, [1, 1], True, <function selu at 0x7fcdf635a378>, True]] : 0.07431882619857788
[[64, [3, 1], False, [1, 1], 128, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.0668039619922638
[[96, [3, 1], False, [1, 1], 64, [7, 7], True, [1, 1], True, <function leaky_relu at 0x7fce60cb0158>, True]] : 0.0713512971997261
[[96, [3, 1], False, [1, 1], 128, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06446007639169693
[[32, [5, 5], True, [1, 1], 64, [3, 5], True, [1, 1], True, <function selu at 0x7fcdf635a378>, True]] : 0.07437463104724884
[[96, [3, 1], False, [1, 1], 64, [7, 7], True, [1, 1], False, <function leaky_relu at 0x7fce60cb0158>, True]] : 0.07281607389450073
[[64, [5, 5], False, [1, 1], 128, [5, 5], False, [1, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.06191452965140343
[[64, [5, 5], False, [1, 1], 128, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06253515928983688
[[64, [5, 5], False, [1, 1], 128, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.062437377870082855
[[64, [3, 1], False, [1, 1], 128, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06624254584312439
[[64, [3, 1], False, [1, 1], 128, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06638606637716293
[[96, [3, 3], True, [1, 1], 32, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06194031238555908
Generation 3
[[96, [3, 3], False, [1, 1], 128, [5, 5], True, [8, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06380370259284973
[[16, [5, 1], True, [1, 1], 150, [5, 5], True, [1, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.06301559507846832
[[96, [3, 3], True, [1, 1], 32, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06200527027249336
[[64, [3, 1], False, [1, 1], 150, [7, 7], True, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06765224039554596
[[64, [5, 1], False, [1, 1], 150, [5, 5], True, [1, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.06485561281442642
[[64, [3, 1], False, [1, 1], 150, [7, 7], True, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.0663788765668869
[[8, [5, 1], True, [1, 1], 150, [7, 5], True, [1, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.06158962473273277
[[64, [5, 5], False, [1, 1], 64, [5, 5], False, [8, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06366818398237228
[[64, [3, 1], False, [1, 1], 64, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06949248909950256
[[96, [3, 3], False, [1, 1], 128, [5, 5], True, [8, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06045633181929588
[[64, [3, 1], False, [1, 1], 64, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06975846737623215
[[64, [5, 5], False, [1, 1], 64, [5, 5], False, [8, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06492182612419128
[[64, [3, 1], False, [1, 1], 150, [7, 7], True, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06965607404708862
[[64, [5, 5], False, [1, 1], 64, [5, 5], False, [8, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06411176919937134
[[64, [5, 1], False, [1, 1], 150, [5, 5], True, [1, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.06444691121578217
[[64, [3, 1], False, [1, 1], 150, [7, 7], True, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06852508336305618
[[64, [3, 1], False, [1, 1], 150, [7, 7], True, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06587302684783936
[[64, [3, 1], False, [1, 1], 64, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06793303787708282
[[96, [3, 3], True, [1, 1], 32, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.0623982809484005
[[64, [3, 1], False, [1, 1], 150, [7, 7], True, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.07001421600580215
[[96, [3, 3], False, [1, 1], 128, [5, 5], True, [8, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06389506161212921
[[64, [3, 1], False, [1, 1], 150, [7, 7], True, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.0674440786242485
[[64, [3, 1], False, [1, 1], 150, [7, 7], True, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06534299999475479
[[64, [3, 1], False, [1, 1], 150, [7, 7], True, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06781470775604248
[[64, [5, 5], False, [1, 1], 64, [5, 5], False, [8, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06476515531539917
[[96, [3, 3], False, [1, 1], 128, [5, 5], True, [8, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06162840500473976
[[64, [3, 1], False, [1, 1], 150, [7, 7], True, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06563739478588104
[[64, [3, 1], False, [1, 1], 150, [7, 7], True, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06866509467363358
[[64, [3, 1], False, [1, 1], 64, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06910279393196106
[[64, [5, 1], False, [1, 1], 150, [5, 5], True, [1, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.06463201344013214
Generation 4
[[64, [3, 3], False, [1, 1], 128, [5, 5], True, [8, 1], True, <function relu at 0x7fcdf636ba60>, False]] : 0.08001880347728729
[[16, [5, 1], True, [1, 1], 150, [5, 5], True, [1, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.06399421393871307
[[96, [5, 1], False, [1, 1], 32, [5, 5], False, [1, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.07161122560501099
[[64, [5, 1], False, [1, 1], 150, [5, 5], True, [1, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.06542180478572845
[[8, [5, 1], True, [1, 1], 150, [7, 5], True, [1, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.06420139968395233
[[64, [5, 1], False, [1, 1], 64, [5, 5], True, [1, 1], True, <function relu at 0x7fcdf636ba60>, False]] : 0.08754737675189972
[[64, [3, 3], False, [1, 1], 128, [5, 5], True, [8, 1], True, <function relu at 0x7fcdf636ba60>, False]] : 0.08047543466091156
[[64, [5, 1], False, [1, 1], 64, [5, 5], True, [1, 1], True, <function relu at 0x7fcdf636ba60>, False]] : 0.08617355674505234
[[64, [5, 1], False, [1, 1], 64, [5, 5], True, [1, 1], True, <function relu at 0x7fcdf636ba60>, False]] : 0.08723978698253632
[[64, [5, 1], False, [1, 1], 150, [5, 5], True, [1, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.06513048708438873
[[96, [5, 1], False, [1, 1], 32, [5, 5], False, [1, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.07070890814065933
[[64, [3, 3], False, [1, 1], 128, [5, 5], True, [8, 1], True, <function relu at 0x7fcdf636ba60>, False]] : 0.08039972931146622
[[64, [3, 3], False, [1, 1], 64, [5, 5], True, [8, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06418471038341522
[[64, [3, 3], False, [1, 1], 64, [5, 5], True, [8, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06584514677524567
[[64, [5, 1], False, [1, 1], 64, [5, 5], True, [1, 1], True, <function relu at 0x7fcdf636ba60>, False]] : 0.08868921548128128
[[64, [3, 3], False, [1, 1], 128, [5, 5], True, [8, 1], True, <function relu at 0x7fcdf636ba60>, False]] : 0.08127601444721222
[[64, [3, 1], False, [1, 1], 150, [7, 7], True, [1, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.0654117688536644
[[96, [3, 3], False, [1, 1], 128, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, False]] : 0.0791141614317894
[[64, [5, 1], False, [1, 1], 150, [5, 5], True, [1, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.0657629668712616
[[64, [5, 1], False, [1, 1], 64, [5, 5], True, [1, 1], True, <function relu at 0x7fcdf636ba60>, False]] : 0.0870741605758667
[[64, [3, 3], False, [1, 1], 64, [5, 5], True, [8, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06395649909973145
[[64, [5, 1], False, [1, 1], 64, [5, 5], True, [1, 1], True, <function relu at 0x7fcdf636ba60>, False]] : 0.08657504618167877
[[96, [5, 1], False, [1, 1], 32, [5, 5], False, [1, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.07139822095632553
[[64, [3, 3], False, [1, 1], 128, [5, 5], True, [8, 1], True, <function relu at 0x7fcdf636ba60>, False]] : 0.08014251291751862
[[64, [3, 3], False, [1, 1], 128, [5, 5], True, [8, 1], True, <function relu at 0x7fcdf636ba60>, False]] : 0.08079193532466888
[[64, [5, 1], False, [1, 1], 64, [5, 5], True, [1, 1], True, <function relu at 0x7fcdf636ba60>, False]] : 0.08741632103919983
[[96, [3, 3], False, [1, 1], 128, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, False]] : 0.07781695574522018
[[64, [3, 3], False, [1, 1], 128, [5, 5], True, [8, 1], True, <function relu at 0x7fcdf636ba60>, False]] : 0.07988234609365463
[[64, [3, 3], False, [1, 1], 128, [5, 5], True, [8, 1], True, <function relu at 0x7fcdf636ba60>, False]] : 0.08243009448051453
[[96, [3, 3], False, [1, 1], 128, [5, 5], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, False]] : 0.0787787213921547
Generation 0
[[16, [5, 1], True, [1, 1], 150, [5, 5], True, [1, 1], False, <function relu at 0x7fcdf636ba60>, True], [8, [3, 1], True, [32, 1], 150, [5, 1], False, [8, 1], True, <function relu at 0x7fcdf636ba60>, False]] : 0.06848614662885666
[[96, [3, 3], False, [1, 1], 128, [5, 5], True, [8, 1], True, <function relu at 0x7fcdf636ba60>, False], [128, [3, 1], False, [32, 1], 150, [5, 1], True, [16, 1], True, <function relu at 0x7fcdf636ba60>, False]] : 0.06871848553419113
[[16, [5, 1], True, [1, 1], 150, [3, 3], True, [1, 1], False, <function relu at 0x7fcdf636ba60>, True], [8, [3, 1], False, [4, 1], 128, [3, 1], True, [1, 1], True, <function relu at 0x7fcdf636ba60>, False]] : 0.07202216982841492
[[8, [5, 1], True, [1, 1], 150, [7, 5], True, [1, 1], False, <function selu at 0x7fcdf635a378>, True], [16, [7, 1], True, [32, 1], 96, [3, 1], False, [32, 1], False, <function selu at 0x7fcdf635a378>, False]] : 0.07181213796138763
[[64, [5, 1], False, [1, 1], 150, [7, 7], True, [1, 1], True, <function relu at 0x7fcdf636ba60>, False], [128, [5, 1], True, [4, 1], 128, [3, 1], True, [16, 1], True, <function relu at 0x7fcdf636ba60>, False]] : 0.0696178451180458
[[16, [5, 1], True, [1, 1], 150, [3, 3], True, [1, 1], False, <function relu at 0x7fcdf636ba60>, True], [96, [7, 1], True, [32, 1], 128, [3, 1], False, [4, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.05814171954989433
[[96, [3, 3], False, [1, 1], 128, [5, 5], True, [8, 1], True, <function relu at 0x7fcdf636ba60>, False], [32, [5, 1], True, [32, 1], 128, [5, 1], False, [16, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.06081918254494667
[[64, [3, 3], False, [1, 1], 150, [7, 7], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True], [64, [5, 1], False, [2, 1], 64, [5, 1], True, [4, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.055590175092220306
[[64, [3, 3], False, [1, 1], 150, [7, 7], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True], [16, [5, 1], False, [16, 1], 128, [3, 1], False, [16, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.06081860885024071
[[64, [3, 1], False, [1, 1], 150, [7, 7], True, [1, 1], True, <function relu at 0x7fcdf636ba60>, True], [16, [3, 1], False, [2, 1], 150, [7, 1], False, [16, 1], False, <function relu at 0x7fcdf636ba60>, False]] : 0.06606389582157135
[[64, [5, 1], False, [1, 1], 150, [7, 7], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True], [128, [7, 1], False, [4, 1], 32, [3, 1], False, [32, 1], False, <function relu at 0x7fcdf636ba60>, False]] : 0.05701673775911331
[[16, [5, 1], True, [1, 1], 150, [3, 3], True, [1, 1], False, <function relu at 0x7fcdf636ba60>, True], [150, [5, 1], False, [2, 1], 64, [5, 1], False, [8, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.058407973498106
[[64, [3, 3], False, [1, 1], 150, [7, 7], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True], [150, [5, 1], True, [16, 1], 96, [7, 1], False, [32, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.04864269495010376
[[64, [5, 1], False, [1, 1], 150, [7, 7], True, [1, 1], True, <function relu at 0x7fcdf636ba60>, False], [96, [7, 1], False, [1, 1], 8, [7, 1], True, [4, 1], False, <function relu at 0x7fcdf636ba60>, False]] : 0.07592440396547318
[[96, [3, 3], False, [1, 1], 128, [5, 5], True, [8, 1], True, <function relu at 0x7fcdf636ba60>, False], [64, [3, 1], False, [32, 1], 128, [7, 1], False, [4, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.0652296245098114
[[64, [5, 1], False, [1, 1], 150, [7, 7], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True], [128, [3, 1], True, [32, 1], 96, [3, 1], False, [1, 1], False, <function relu at 0x7fcdf636ba60>, False]] : 0.05639956519007683
[[16, [3, 3], False, [1, 1], 128, [5, 5], True, [8, 1], True, <function relu at 0x7fcdf636ba60>, False], [128, [7, 1], True, [32, 1], 32, [7, 1], True, [8, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.06731261312961578
[[64, [5, 1], False, [1, 1], 150, [7, 7], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True], [64, [3, 1], True, [2, 1], 32, [3, 1], False, [2, 1], True, <function relu at 0x7fcdf636ba60>, False]] : 0.062477387487888336
[[64, [5, 1], False, [1, 1], 150, [7, 7], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True], [96, [5, 1], True, [4, 1], 96, [5, 1], False, [1, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.05861162021756172
[[64, [5, 1], False, [1, 1], 150, [7, 7], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True], [8, [3, 1], True, [16, 1], 150, [5, 1], True, [2, 1], True, <function relu at 0x7fcdf636ba60>, False]] : 0.07724686712026596
[[64, [5, 1], False, [1, 1], 150, [7, 7], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True], [8, [5, 1], True, [1, 1], 16, [5, 1], True, [4, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06650608032941818
[[64, [3, 3], False, [1, 1], 150, [7, 7], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True], [32, [3, 1], True, [2, 1], 16, [5, 1], True, [16, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06301409751176834
[[96, [3, 3], False, [1, 1], 128, [5, 5], True, [8, 1], True, <function relu at 0x7fcdf636ba60>, False], [128, [5, 1], True, [2, 1], 96, [7, 1], True, [32, 1], True, <function relu at 0x7fcdf636ba60>, True]] : 0.06090027466416359
[[16, [5, 1], True, [1, 1], 150, [3, 3], True, [1, 1], False, <function relu at 0x7fcdf636ba60>, True], [128, [7, 1], False, [32, 1], 64, [5, 1], True, [16, 1], False, <function relu at 0x7fcdf636ba60>, True]] : 0.055217087268829346
[[64, [5, 1], False, [1, 1], 150, [7, 7], False, [1, 1], True, <function relu at 0x7fcdf636ba60>, True], [128, [5, 1], True, [1, 1], 16, [7, 1], True, [1, 1], True, <function relu at 0x7fcdf636ba60>, False]] : 0.06130274012684822
[[96, [3, 3], False, [1, 1], 128, [5, 5], True, [8, 1], True, <function relu at 0x7fcdf636ba60>, False], [16, [7, 1], False, [1, 1], 128, [7, 1], True, [8, 1], False, <function relu at 0x7fcdf636ba60>, False]] : 0.07807447016239166
