Generation 0
[[8, [7, 3], True, [1, 1], 32, [3, 1], False, [1, 1], True, <function selu at 0x7ff930bb1488>, True]] : 0.054667260497808456
[[128, [5, 1], True, [1, 1], 96, [3, 3], True, [1, 1], False, <function relu at 0x7ff930b87b70>, True]] : 0.06675916165113449
[[64, [5, 3], False, [1, 1], 8, [7, 1], True, [1, 1], False, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.066926509141922
[[96, [7, 1], True, [1, 1], 8, [3, 3], True, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.05858215317130089
[[8, [5, 3], True, [1, 1], 64, [7, 3], True, [1, 1], False, <function tanh at 0x7ff930d87c80>, True]] : 0.06055022031068802
[[96, [5, 3], False, [1, 1], 32, [3, 1], True, [1, 1], True, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.0955706313252449
[[128, [7, 1], False, [1, 1], 16, [5, 3], False, [1, 1], False, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.054374225437641144
[[96, [5, 1], True, [1, 1], 96, [3, 3], True, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.06228911131620407
[[32, [5, 3], True, [1, 1], 16, [3, 1], False, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.06644092500209808
[[8, [5, 3], False, [1, 1], 96, [7, 1], True, [1, 1], False, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.060302719473838806
[[128, [7, 1], True, [1, 1], 8, [3, 3], False, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.05107822269201279
[[128, [5, 3], False, [1, 1], 8, [5, 3], True, [1, 1], False, <function selu at 0x7ff930bb1488>, True]] : 0.07371360063552856
[[16, [5, 3], False, [1, 1], 16, [5, 3], False, [1, 1], False, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.08622292429208755
[[16, [5, 3], False, [1, 1], 128, [7, 3], False, [1, 1], True, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.06861229985952377
[[128, [5, 1], False, [1, 1], 64, [3, 1], False, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.061332691460847855
[[8, [5, 3], False, [1, 1], 32, [7, 3], False, [1, 1], False, <function tanh at 0x7ff930d87c80>, True]] : 0.08221737295389175
Generation 2
[[128, [3, 3], False, [1, 1], 96, [7, 1], False, [1, 1], False, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.04738929495215416
[[128, [5, 3], False, [1, 1], 32, [3, 3], False, [1, 1], False, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.3952379524707794
[[64, [3, 1], True, [1, 1], 128, [7, 3], True, [1, 1], False, <function selu at 0x7ff930bb1488>, True]] : 0.05664398893713951
[[128, [5, 1], False, [1, 1], 64, [3, 1], False, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.08036940544843674
[[32, [3, 3], True, [1, 1], 96, [7, 3], False, [1, 1], False, <function leaky_relu at 0x7ff99b4f9268>, False]] : 0.06314114481210709
[[128, [5, 3], False, [1, 1], 64, [3, 3], True, [1, 1], False, <function selu at 0x7ff930bb1488>, True]] : 0.1072106882929802
[[32, [3, 3], False, [1, 1], 8, [5, 3], True, [1, 1], True, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.06404721736907959
[[128, [7, 1], True, [1, 1], 16, [5, 3], False, [1, 1], False, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.07696480304002762
[[64, [5, 1], False, [1, 1], 96, [5, 3], True, [1, 1], True, <function relu at 0x7ff930b87b70>, False]] : 0.05806637555360794
[[96, [5, 1], False, [1, 1], 128, [7, 3], False, [1, 1], True, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.07148058712482452
[[8, [7, 3], True, [1, 1], 32, [3, 1], False, [1, 1], True, <function selu at 0x7ff930bb1488>, True]] : 0.06152822822332382
[[128, [5, 1], True, [1, 1], 96, [3, 3], True, [1, 1], False, <function relu at 0x7ff930b87b70>, True]] : 0.05895671248435974
[[96, [7, 1], True, [1, 1], 8, [3, 3], True, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.06143232807517052
[[8, [5, 3], True, [1, 1], 64, [7, 3], True, [1, 1], False, <function tanh at 0x7ff930d87c80>, True]] : 0.0894031971693039
[[96, [5, 3], False, [1, 1], 32, [3, 1], True, [1, 1], True, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.06795881688594818
[[128, [7, 1], False, [1, 1], 16, [5, 3], False, [1, 1], False, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.06241832301020622
[[96, [5, 1], True, [1, 1], 96, [3, 3], True, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.05350290611386299
[[32, [5, 3], True, [1, 1], 16, [3, 1], False, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.05898989737033844
[[8, [5, 3], False, [1, 1], 96, [7, 1], True, [1, 1], False, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.06621631234884262
