Generation 0
[[64, [7, 1], False, [1, 1], 96, [7, 3], True, [1, 1], True, <function relu6 at 0x7fecde786048>, True]] : 0.08184260129928589
[[64, [7, 1], True, [1, 1], 8, [3, 1], False, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.05370081588625908
[[16, [7, 3], False, [1, 1], 96, [7, 7], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.047939714044332504
[[96, [7, 1], False, [1, 1], 32, [5, 3], False, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.06690098345279694
[[16, [5, 1], True, [1, 1], 8, [7, 1], True, [1, 1], True, <function relu at 0x7fec73e4e9d8>, True]] : 0.05603024363517761
[[64, [7, 1], True, [1, 1], 8, [5, 3], False, [1, 1], True, <function relu at 0x7fec73e4e9d8>, True]] : 0.0675598755478859
[[16, [5, 1], False, [1, 1], 8, [7, 1], False, [1, 1], False, <function tanh at 0x7fec7404eae8>, True]] : 0.06251979619264603
[[16, [3, 3], True, [1, 1], 8, [3, 1], False, [1, 1], False, <function relu6 at 0x7fecde786048>, True]] : 0.06972065567970276
[[96, [5, 3], False, [2, 1], 64, [3, 1], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.050890736281871796
[[8, [7, 1], False, [1, 1], 32, [7, 3], True, [1, 1], False, <function tanh at 0x7fec7404eae8>, True]] : 0.05910056456923485
[[64, [7, 1], True, [1, 1], 8, [5, 3], False, [1, 1], True, <function relu at 0x7fec73e4e9d8>, True]] : 0.05678031966090202
[[16, [5, 1], False, [1, 1], 96, [7, 1], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.07233791798353195
[[64, [7, 1], True, [1, 1], 8, [3, 1], True, [1, 1], True, <function relu at 0x7fec73e4e9d8>, True]] : 0.05958370864391327
[[64, [3, 3], True, [1, 1], 8, [3, 1], False, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.06661855429410934
[[96, [7, 1], True, [1, 1], 32, [3, 1], False, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True]] : 0.07454591989517212
Generation 2
[[16, [5, 1], True, [1, 1], 96, [7, 1], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.06400104612112045
[[64, [3, 1], True, [1, 1], 8, [3, 1], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.06903214752674103
[[8, [5, 1], False, [1, 1], 32, [7, 3], True, [1, 1], False, <function tanh at 0x7fec7404eae8>, True]] : 0.06842877715826035
[[128, [7, 1], True, [1, 1], 16, [7, 3], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.06348507851362228
[[96, [3, 3], True, [1, 1], 96, [3, 1], False, [1, 1], True, <function relu at 0x7fec73e4e9d8>, True]] : 0.40853118896484375
[[64, [3, 3], True, [1, 1], 32, [3, 1], False, [1, 1], True, <function relu6 at 0x7fecde786048>, True]] : 0.06173722818493843
[[32, [5, 3], False, [1, 1], 96, [7, 1], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.06463354080915451
[[96, [5, 3], False, [1, 1], 96, [7, 1], False, [1, 1], True, <function relu6 at 0x7fecde786048>, True]] : 0.0664435476064682
[[16, [7, 1], False, [1, 1], 8, [7, 3], False, [1, 1], False, <function relu6 at 0x7fecde786048>, False]] : 0.043580539524555206
[[64, [7, 7], True, [1, 1], 8, [3, 1], False, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.06839389353990555
[[16, [7, 3], False, [1, 1], 96, [7, 7], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.05690056085586548
[[16, [5, 1], True, [1, 1], 8, [7, 1], True, [1, 1], True, <function relu at 0x7fec73e4e9d8>, True]] : 0.05465422943234444
[[16, [5, 1], False, [1, 1], 8, [7, 1], False, [1, 1], False, <function tanh at 0x7fec7404eae8>, True]] : 0.0703207477927208
[[96, [5, 3], False, [2, 1], 64, [3, 1], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.060998350381851196
[[8, [7, 1], False, [1, 1], 32, [7, 3], True, [1, 1], False, <function tanh at 0x7fec7404eae8>, True]] : 0.04950439929962158
[[64, [7, 1], True, [1, 1], 8, [5, 3], False, [1, 1], True, <function relu at 0x7fec73e4e9d8>, True]] : 0.0663009062409401
[[64, [7, 1], True, [1, 1], 8, [3, 1], True, [1, 1], True, <function relu at 0x7fec73e4e9d8>, True]] : 0.06360013782978058
[[32, [5, 3], False, [1, 1], 32, [7, 1], True, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True]] : 0.05593031272292137
[[16, [5, 1], True, [1, 1], 16, [7, 3], False, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.07067294418811798
